Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Day,Month,Year,orderd_hours,orderd_minutes,picked_hours,picked_minutes,Delivery_time
31.0,4.7,26.914142,75.805704,26.954142,75.845704,Sunny,High,0,Drinks,motorcycle,1.0,No,Urban,19,3,2022,13,30,13,40,23
25.0,4.8,22.307898,73.167788,22.317898,73.177788,Sunny,Low,0,Snack,motorcycle,0.0,No,Urban,9,3,2022,9,25,9,30,10
28.0,4.7,18.592718,73.773572,18.662718,73.843572,Fog,Low,0,Buffet,motorcycle,1.0,No,Urban,18,3,2022,22,50,22,55,23
29.0,4.8,0.0,0.0,0.11,0.11,Sandstorms,Jam,1,Drinks,scooter,0.0,No,Metropolitian,16,2,2022,20,35,20,40,19
36.0,4.6,22.311603,73.165012,22.331603,73.185012,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,28,3,2022,8,55,9,10,21
26.0,4.8,22.727021,75.884167,22.747021,75.904167,Windy,Low,2,Buffet,scooter,0.0,No,Metropolitian,26,3,2022,9,50,10,0,14
35.0,4.7,22.727021,75.884167,22.767021,75.924167,Sandstorms,High,1,Buffet,scooter,1.0,No,Metropolitian,13,3,2022,13,30,13,40,25
26.0,4.8,13.029198,77.570997,13.039198,77.580997,Cloudy,Low,2,Drinks,scooter,0.0,No,Metropolitian,3,4,2022,8,20,8,25,17
37.0,4.8,22.651847,75.881991,22.741847,75.971991,Windy,Jam,2,Drinks,scooter,1.0,No,Urban,29,3,2022,19,55,19,59,30
25.0,4.1,12.972793,80.249982,12.992793,80.269982,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,26,3,2022,8,10,8,25,21
38.0,4.6,22.722634,75.886959,22.742634,75.906959,Sunny,High,1,Snack,scooter,0.0,No,Metropolitian,30,3,2022,11,10,11,15,19
37.0,4.5,19.880256,75.323503,19.960256,75.403503,Windy,Jam,1,Buffet,scooter,0.0,No,Urban,12,2,2022,21,45,22,0,25
34.0,4.7,27.163303,78.057044,27.303303,78.197044,Windy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,18,2,2022,22,45,22,50,25
31.0,4.6,12.304569,76.643622,12.314569,76.653622,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,28,3,2022,10,20,10,35,20
38.0,4.5,23.371292,85.327872,23.411292,85.367872,Sunny,High,2,Snack,scooter,0.0,No,Urban,17,3,2022,14,25,14,40,22
24.0,4.7,0.0,0.0,0.13,0.13,Fog,Jam,0,Buffet,motorcycle,1.0,No,Urban,8,3,2022,21,40,21,45,37
38.0,4.8,12.334022,76.618203,12.444022,76.728203,Sunny,Medium,2,Meal,motorcycle,0.0,No,Urban,2,4,2022,17,35,17,50,18
31.0,4.9,11.024839,77.007003,11.094839,77.077003,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,2,3,2022,19,50,19,55,30
34.0,4.5,17.422819,78.449578,17.462819,78.489578,Fog,Medium,2,Meal,electric_scooter,0.0,No,Urban,15,3,2022,16,50,16,55,19
29.0,4.9,22.695207,75.866059,22.775207,75.946059,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,2,3,2022,19,35,19,50,17
25.0,5.0,13.086438,80.220672,13.146439,80.280672,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,19,3,2022,18,20,18,25,27
38.0,4.5,27.160934,78.044095,27.210934,78.094095,Fog,Jam,2,Meal,scooter,1.0,No,Urban,11,2,2022,21,55,22,0,27
35.0,4.8,21.149669,72.772629,21.199669,72.822629,Cloudy,Jam,2,Snack,motorcycle,2.0,No,Metropolitian,1,4,2022,20,50,21,5,36
26.0,4.9,18.563934,73.915367,18.643935,73.995367,Stormy,Jam,2,Drinks,motorcycle,,No,Metropolitian,27,3,2022,19,20,19,25,15
25.0,4.6,12.933298,77.614293,12.973298,77.654293,Sunny,Medium,2,Snack,scooter,0.0,No,Metropolitian,5,3,2022,15,40,15,45,11
38.0,4.8,26.471529,80.313458,26.521529,80.363458,Windy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,17,2,2022,17,35,17,40,27
,,17.41233,78.449654,17.46233,78.499654,Cloudy,Low,2,Snack,scooter,1.0,No,,5,4,2022,23,45,23,55,14
27.0,4.6,19.876219,75.346017,19.946219,75.416017,Sandstorms,Low,1,Buffet,scooter,1.0,No,Urban,12,2,2022,22,25,22,40,12
32.0,4.9,13.058616,80.264151,13.188616,80.394151,Sunny,Medium,0,Snack,motorcycle,1.0,No,Urban,14,3,2022,18,55,19,5,26
25.0,5.0,22.745049,75.892471,22.755049,75.902471,Sandstorms,Low,1,Snack,scooter,1.0,No,Urban,21,3,2022,8,35,8,50,18
